BATT,1,"BT1"
30pF,2,"C6 C7",Digikey,1276-1681-1-ND
0.1uF,6,"C1 C3 C4 C5 C13 C14",Digikey,1276-1443-1-ND
1uF,2,"C2 C9",Digikey,587-1231-1-ND
TPS732XX,1,"U?"
10uF,2,"C8 C10",Digikey,1276-1119-1-ND
RED,1,"D1",Digikey,511-1654-1-ND
10uH,1,"L1",Digikey,445-3166-1-ND
MHOLE,1,"MTG1"
ICSP,1,"P1"
2.2k,1,"R5",Digikey,RMCF0402FT2K20CT-ND
10k,2,"R3 R4",Digikey,RMCF0402JT10K0CT-ND
1M,1,"R2",Digikey,RMCF0402JT1M00CT-ND
2.2M,1,"R1",Digikey,1276-4295-1-ND
JS102011SAQN,1,"S1",Digikey,401-1999-1-ND
GND,1,"TP1"
3V3,1,"TP2"
CONN,1,"TP3"
FACT,1,"TP4"
STATUS,1,"TP5"
ATMEGA328P-28PIN,1,"U1",Digikey,ATMEGA328P-MMH-ND
BLUETOOTH-RN42,1,"U3",Digikey,740-1038-ND
ADXL362,1,"U4",Digikey,ADXL362BCCZ-RL7
ABM3B-8.000MHZ,1,"Y1",Digikey,535-9720-1-ND
