1nF,C36
2.2nF,C53
4.7nF,C4 C5 C6 C7 C8 C9 C10 C11 C12
0.01uF,C27 C28
10nF,C54
0.1uF,C1 C2 C13 C15 C17 C18 C19 C34 C35 C40 C45 C46 C49 C50
0.1uF,C3
0.1uF,C33 C51 C52
1uF,C21 C22 C24 C25 C26
1uF,C38 C39 C41 C43 C44 C47 C48
2.2uF,C14
2.2uF,C31 C32
10uF,C16 C37
10uF,C20 C23 C29 C30
100uF,C42
RED,D1
GREEN,D2
CONN_14,P2
CONN_5X2,P3
CONN_5,P10
330,R20 R21
4.7K,R1 R2 R3
4.99K,R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19
5.6K,R5 R6
10K,R4
10K,R22 R23 R24 R26 R27
499K,R25
SMT_BUTTON,S2
24C256,U1
ATUC3L064,U6
BLUETOOTH-RN42,U7
MPU6050,U13
OPA2376,U11
ADS1299,U12
TPD4E001DBV,U3 U4 U5
TPS60403,U8
TPS73225,U9
TPS72325,U10
