1nF,1,C36,Kemet,C0603C102K3RACTU,DigiKey,$0.10/1 $0.02/10 $0.0108/50,,,
2.2nF,1,C53,,,,,,,
4.7nF,9,C4 C5 C6 C7 C8 C9 C10 C11 C12,Kemet,C0603C472K5RACTU,DigiKey,$0.10/1 $0.03/10 $0.0162/50,,,
0.01uF,2,C27 C28,,,,,,,
10nF,1,C54,,,,,,,
0.1uF,14,C1 C2 C13 C15 C17 C18 C19 C34 C35 C40 C45 C46 C49 C50,Kemet,C0603C104K4RACTU,DigiKey,$0.10/1 $0.022/10 $0.0118/50,,,
0.1uF,1,C3,Kemet,C0603C104K4RACTU,DigiKey,$0.10/1, $0.022/10, $0.0118/50,
0.1uF,3,C33 C51 C52,,,,,,,
1uF,5,C21 C22 C24 C25 C26,,,,,,,
1uF,7,C38 C39 C41 C43 C44 C47 C48,Kemet,C0603C105K8PACTU,DigiKey,$0.10/1 $0.039/10 $0.021/50,,,
2.2uF,1,C14,Kemet,C0603C225K8PACTU,DigiKey,$0.17/1 $0.113/10 $0.0676/50,,,
2.2uF,2,C31 C32,,,,,,,
10uF,2,C16 C37,Kemet,C0805C106Z8VACTU,DigiKey,$0.16/1 $0.111/10 $0.063/50,,,
10uF,4,C20 C23 C29 C30,,,,,,,
100uF,1,C42,Vishay Sprague,TL8A0107M010C,DigiKey,$1.35/1 $1.128/10,,,
RED,1,D1,Kingbright Company LLC,APT1608SRCPRV,DigiKey,$0.17/1 $0.131/10 $0.1044/25,,,
GREEN,1,D2,Kingbright Company LLC,APT1608SGC,DigiKey,$0.16/1 $0.117/10 $0.0936/25,,,
WP,1,P1,,,,,,,
CONN_14,1,P2,,,,,,,
CONN_5X2,1,P3,FCI,68602-110HLF,DigiKey,$0.33/1 $0.308/10 $0.2644/25,,,
BTRST,1,P4,,,,,,,
GND,1,P5,,,,,,,
-3V3,1,P6,,,,,,,
3V3,1,P7,,,,,,,
+2V5,1,P8,,,,,,,
-2V5,1,P9,,,,,,,
CONN_5,1,P10,,,,,,,
330,2,R20 R21,Stackpole Electronics,RMCF0603JT330R,DigiKey,$0.02/1 $0.017/10 $0.0092/50,,,
4.7K,3,R1 R2 R3,Stackpole Electronics,RMCF0603JT4K70,DigiKey,$0.02/1, $0.017/10, $0.0092/50,
4.99K,13,R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19,Stackpole Electronics,RNCS0603BKE4K99,DigiKey,$0.70/1 $0.475/10 $0.2876/50,,,
5.6K,2,R5 R6,Stackpole Electronics,RMCF0603JT5K60,DigiKey,$0.02/1, $0.017/10, $0.0092/50,
10K,1,R4,Stackpole Electronics,RMCF0603JT10K0,DigiKey,$0.02/1, $0.017/10, $0.0092/50,
10K,5,R22 R23 R24 R26 R27,Stackpole Electronics,RMCF0603JT10K0,DigiKey,$0.02/1 $0.017/10 $0.0092/50,,,
499K,0.10%,1,R25,Stackpole Electronics,RNCS0805BKE499K,DigiKey,$0.77/1, $0.523/10, $0.3162/50
SMT_BUTTON,1,S2,C&K Components,KMR231GLFS,DigiKey,$0.64/1 $0.604/10 $0.5436/25,,,
BT_CTS,4,SJ1 SJ2 SJ3 SJ6,,,,,,,
SOLDERJUMPERNO,1,SJ8,,,,,,,
SOLDERJUMPERNC2,2,SJ4 SJ5,,,,,,,
SOLDERJUMPER_2WAYPASTE2&3,1,SJ7,,,,,,,
I2C Address Select (2&3NC),1,SJ9,,,,,,,
24C256,1,U1,Fremont Micro Devices USA,FT24C256A-UMR-B,DigiKey,$0.92/1 $0.805/10 $0.7132/25,,,
BEAGLEBONE_BLACK,1,U2,,,,,,,
ATUC3L064,1,U6,Atmel,AT32UC3L064-AUT,DigiKey,$7.80/1 $4.898/25,,,
BLUETOOTH-RN42,1,U7,Microchip Technology,RN42-I/RM,DigiKey,$19.14/1 $15.95/10,,,
MPU6050,1,U13,,,,,,,
OPA2376,1,U11,Texas Instruments,OPA2376AIDGKR,DigiKey,$2.73/1 $2.462/10 $2.206/25,,,
ADS1299,1,U12,Texas Instruments,ADS1299IPAG,DigiKey,$58.14/1,,,
TPD4E001DBV,3,U3 U4 U5,,,,,,,
TPS60403,1,U8,,,,,,,
TPS73225,1,U9,,,,,,,
TPS72325,1,U10,,,,,,,
